input file,variables,constraints,f,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f2_no1.utv,1000,10000,2,0.022580,0.516442,3.797888,0.002197,4.339107,4.13,0.21,96764
input/test_n1000_m10000_f2_no2.utv,1000,10000,2,0.021247,0.520116,3.780642,0.002116,4.324121,4.15,0.17,96868
input/test_n1000_m10000_f2_no3.utv,1000,10000,2,0.021341,0.520297,3.767119,0.002157,4.310914,4.14,0.17,96856
input/test_n1000_m20000_f2_no1.utv,1000,20000,2,0.041363,1.197418,4.348351,0.004636,5.591768,5.39,0.20,97832
input/test_n1000_m20000_f2_no2.utv,1000,20000,2,0.041310,1.195467,4.361219,0.004498,5.602494,5.40,0.20,97836
input/test_n1000_m20000_f2_no3.utv,1000,20000,2,0.041605,1.202515,4.363432,0.004737,5.612289,5.39,0.22,97836
input/test_n1000_m30000_f2_no1.utv,1000,30000,2,0.061070,1.908150,5.086059,0.006796,7.062075,6.80,0.25,98768
input/test_n1000_m30000_f2_no2.utv,1000,30000,2,0.061598,1.913604,5.176078,0.007228,7.158508,6.96,0.20,98748
input/test_n1000_m30000_f2_no3.utv,1000,30000,2,0.061551,1.984488,5.278609,0.007148,7.331796,7.12,0.20,98736
input/test_n1000_m40000_f2_no1.utv,1000,40000,2,0.081142,2.782325,6.115237,0.009956,8.988660,8.77,0.22,99680
input/test_n1000_m40000_f2_no2.utv,1000,40000,2,0.080214,2.786436,6.790351,0.011172,9.668173,9.40,0.26,99696
input/test_n1000_m40000_f2_no3.utv,1000,40000,2,0.084452,3.124749,6.797096,0.010732,10.017029,9.74,0.27,99716
input/test_n1000_m50000_f2_no1.utv,1000,50000,2,0.110907,4.807172,8.906220,0.015508,13.839807,13.52,0.32,100536
input/test_n1000_m50000_f2_no2.utv,1000,50000,2,0.104397,4.789523,8.818440,0.014917,13.727277,13.40,0.32,100540
input/test_n1000_m50000_f2_no3.utv,1000,50000,2,0.103720,4.474855,8.522904,0.014845,13.116324,12.89,0.22,100656
input/test_n1000_m60000_f2_no1.utv,1000,60000,2,0.124903,8.413616,13.185662,0.021910,21.746091,21.41,0.33,101596
input/test_n1000_m60000_f2_no2.utv,1000,60000,2,0.121950,8.725721,13.488953,0.022309,22.358933,22.05,0.31,101576
input/test_n1000_m60000_f2_no3.utv,1000,60000,2,0.123298,8.153776,12.946769,0.022079,21.245922,20.91,0.33,101600
input/test_n1000_m70000_f2_no1.utv,1000,70000,2,0.143942,15.167415,20.501777,0.032718,35.845852,35.49,0.35,102532
input/test_n1000_m70000_f2_no2.utv,1000,70000,2,0.145156,15.514799,20.410052,0.032659,36.102666,35.80,0.30,102528
input/test_n1000_m70000_f2_no3.utv,1000,70000,2,0.146350,15.458119,20.635788,0.033204,36.273461,35.96,0.30,102424
input/test_n1000_m80000_f2_no1.utv,1000,80000,2,0.167085,24.361481,29.175099,0.045168,53.748833,53.37,0.37,103472
input/test_n1000_m80000_f2_no2.utv,1000,80000,2,0.166598,23.999062,29.317901,0.046070,53.529631,53.22,0.31,103500
input/test_n1000_m80000_f2_no3.utv,1000,80000,2,0.169046,23.694444,29.217500,0.046156,53.127146,52.76,0.36,103456
input/test_n1000_m90000_f2_no1.utv,1000,90000,2,0.189688,33.522367,38.733894,0.059036,72.504985,72.05,0.45,104392
input/test_n1000_m90000_f2_no2.utv,1000,90000,2,0.188200,33.533091,38.170198,0.060325,71.951814,71.56,0.38,104296
input/test_n1000_m90000_f2_no3.utv,1000,90000,2,0.184008,33.305495,39.572564,0.059956,73.122023,72.78,0.33,104408
input/test_n1000_m100000_f2_no1.utv,1000,100000,2,0.206658,43.542147,48.279397,0.075063,92.103265,91.58,0.52,105348
input/test_n1000_m100000_f2_no2.utv,1000,100000,2,0.209058,42.645431,47.692261,0.077454,90.624204,90.18,0.44,105368
input/test_n1000_m100000_f2_no3.utv,1000,100000,2,0.203329,42.895777,48.553734,0.077895,91.730735,91.34,0.39,105332
input/test_n1000_m110000_f2_no1.utv,1000,110000,2,0.249042,53.271029,58.005069,0.087633,111.612773,111.16,0.44,106180
input/test_n1000_m110000_f2_no2.utv,1000,110000,2,0.231666,51.975613,57.551556,0.089276,109.848111,109.37,0.47,106180
input/test_n1000_m110000_f2_no3.utv,1000,110000,2,0.232813,52.889227,58.470245,0.091218,111.683503,111.29,0.39,106268
input/test_n1000_m120000_f2_no1.utv,1000,120000,2,0.249543,62.542542,67.816656,0.103511,130.712252,130.29,0.42,107116
input/test_n1000_m120000_f2_no2.utv,1000,120000,2,0.254981,62.265969,67.940642,0.105722,130.567314,130.09,0.48,107192
input/test_n1000_m120000_f2_no3.utv,1000,120000,2,0.255344,63.204948,67.937898,0.106887,131.505077,131.08,0.42,107116
input/test_n1000_m130000_f2_no1.utv,1000,130000,2,0.278166,72.106329,77.794800,0.127506,150.306801,149.90,0.40,108140
input/test_n1000_m130000_f2_no2.utv,1000,130000,2,0.274156,73.419808,77.665923,0.117928,151.477815,151.03,0.45,108144
input/test_n1000_m130000_f2_no3.utv,1000,130000,2,0.271871,69.245000,74.903181,0.118383,144.538435,143.96,0.57,108004
input/test_n1000_m140000_f2_no1.utv,1000,140000,2,0.295908,77.781319,84.332357,0.140287,162.549871,161.62,0.96,107896
input/test_n1000_m140000_f2_no2.utv,1000,140000,2,0.296496,83.107254,87.535379,0.137596,171.076725,170.62,0.45,109048
input/test_n1000_m140000_f2_no3.utv,1000,140000,2,0.295306,81.841749,86.464693,0.138525,168.740273,168.32,0.42,109044
input/test_n1000_m150000_f2_no1.utv,1000,150000,2,0.336420,88.870534,94.802187,0.152780,184.161921,183.73,0.43,109816
input/test_n1000_m150000_f2_no2.utv,1000,150000,2,0.311246,88.933859,93.177630,0.165203,182.587938,181.94,0.64,108348
input/test_n1000_m150000_f2_no3.utv,1000,150000,2,0.325623,82.606980,94.342555,0.152584,177.427742,176.62,0.80,109708
input/test_n1000_m160000_f2_no1.utv,1000,160000,2,0.336690,99.960916,104.458744,0.162426,204.918776,204.52,0.39,110812
input/test_n1000_m160000_f2_no2.utv,1000,160000,2,0.333709,101.161050,104.185254,0.193435,205.873448,205.43,0.44,109432
input/test_n1000_m160000_f2_no3.utv,1000,160000,2,0.377181,93.993766,105.826643,0.171284,200.368874,199.32,1.04,110720
input/test_n1000_m170000_f2_no1.utv,1000,170000,2,0.355868,109.218476,107.674203,0.171215,217.419762,216.66,0.76,110244
input/test_n1000_m170000_f2_no2.utv,1000,170000,2,0.440620,113.793686,117.355830,0.187371,231.777507,231.22,0.56,111696
input/test_n1000_m170000_f2_no3.utv,1000,170000,2,0.362321,111.673085,114.909020,0.188983,227.133409,226.74,0.38,111752
input/test_n1000_m180000_f2_no1.utv,1000,180000,2,0.379330,116.162404,121.327322,0.204618,238.073674,236.97,1.12,111528
input/test_n1000_m180000_f2_no2.utv,1000,180000,2,0.373295,117.120254,111.676442,0.175495,229.345486,228.16,1.18,111740
input/test_n1000_m180000_f2_no3.utv,1000,180000,2,0.373814,103.237621,110.654788,0.192751,214.458974,213.94,0.52,111400
input/test_n1000_m190000_f2_no1.utv,1000,190000,2,0.392596,102.432643,114.649413,0.177544,217.652196,217.16,0.50,113384
input/test_n1000_m190000_f2_no2.utv,1000,190000,2,0.414210,107.988710,114.658391,0.190887,223.252198,222.54,0.72,112196
input/test_n1000_m190000_f2_no3.utv,1000,190000,2,0.396999,106.491947,113.072716,0.181172,220.142834,219.64,0.50,113188
input/test_n1000_m200000_f2_no1.utv,1000,200000,2,0.411377,110.475579,122.895312,0.207757,233.990025,233.55,0.43,114476
input/test_n1000_m200000_f2_no2.utv,1000,200000,2,0.416525,122.304402,121.986538,0.192398,244.899863,244.45,0.45,114664
input/test_n1000_m200000_f2_no3.utv,1000,200000,2,0.410341,115.633020,120.008731,0.188765,236.240857,235.63,0.61,112968
