input file,variables,constraints,setup,linear,integer,cleanup,total,user,system,maximum resident set size (kb)
input/test_n1000_m10000_f0_no1.utv,1000,10000,0.030426,0.572232,,0.001866,0.604524,0.58,0.02,2760
input/test_n1000_m10000_f0_no2.utv,1000,10000,0.026151,0.581017,,0.001789,0.608957,0.60,0.00,2708
input/test_n1000_m10000_f0_no3.utv,1000,10000,0.025002,0.592550,,0.001789,0.619341,0.60,0.01,2728
input/test_n1000_m20000_f0_no1.utv,1000,20000,0.055830,1.150224,,0.004281,1.210335,1.18,0.03,3944
input/test_n1000_m20000_f0_no2.utv,1000,20000,0.048201,1.157954,,0.007376,1.213531,1.19,0.02,3988
input/test_n1000_m20000_f0_no3.utv,1000,20000,0.048235,1.162165,,0.004139,1.214539,1.18,0.03,3968
input/test_n1000_m30000_f0_no1.utv,1000,30000,0.080422,1.757640,,0.006492,1.844554,1.80,0.04,5280
input/test_n1000_m30000_f0_no2.utv,1000,30000,0.071093,1.749284,,0.006572,1.826949,1.81,0.02,5204
input/test_n1000_m30000_f0_no3.utv,1000,30000,0.071635,1.787887,,0.006634,1.866156,1.84,0.02,5204
input/test_n1000_m40000_f0_no1.utv,1000,40000,0.101306,3.210639,,0.010220,3.322165,3.28,0.03,6452
input/test_n1000_m40000_f0_no2.utv,1000,40000,0.094310,3.119933,,0.010024,3.224267,3.20,0.02,6480
input/test_n1000_m40000_f0_no3.utv,1000,40000,0.095575,3.041147,,0.011778,3.148500,3.11,0.03,6484
input/test_n1000_m50000_f0_no1.utv,1000,50000,0.123657,6.704816,,0.016406,6.844879,6.79,0.05,7764
input/test_n1000_m50000_f0_no2.utv,1000,50000,0.117161,6.541285,,0.018687,6.677133,6.64,0.03,7752
input/test_n1000_m50000_f0_no3.utv,1000,50000,0.128642,6.480518,,0.018817,6.627977,6.58,0.04,7744
input/test_n1000_m60000_f0_no1.utv,1000,60000,0.153624,9.562728,,0.029724,9.746076,9.70,0.05,9000
input/test_n1000_m60000_f0_no2.utv,1000,60000,0.142199,9.542529,,0.029760,9.714488,9.66,0.05,8992
input/test_n1000_m60000_f0_no3.utv,1000,60000,0.138806,9.954952,,0.028925,10.122683,10.06,0.06,9048
input/test_n1000_m70000_f0_no1.utv,1000,70000,0.173006,12.378690,,0.042285,12.593981,12.51,0.08,10196
input/test_n1000_m70000_f0_no2.utv,1000,70000,0.162544,12.336969,,0.042030,12.541543,12.46,0.08,10196
input/test_n1000_m70000_f0_no3.utv,1000,70000,0.166796,12.332192,,0.043943,12.542931,12.46,0.08,10280
input/test_n1000_m80000_f0_no1.utv,1000,80000,0.190520,15.164185,,0.059390,15.414095,15.34,0.07,11488
input/test_n1000_m80000_f0_no2.utv,1000,80000,0.178250,15.477339,,0.061574,15.717163,15.64,0.07,11492
input/test_n1000_m80000_f0_no3.utv,1000,80000,0.188974,15.748720,,0.060864,15.998558,15.93,0.06,11476
input/test_n1000_m90000_f0_no1.utv,1000,90000,0.206100,17.828209,,0.078065,18.112374,18.03,0.08,12800
input/test_n1000_m90000_f0_no2.utv,1000,90000,0.211456,18.163598,,0.084190,18.459244,18.38,0.07,12712
input/test_n1000_m90000_f0_no3.utv,1000,90000,0.219161,18.155247,,0.072416,18.446824,18.36,0.08,12708
input/test_n1000_m100000_f0_no1.utv,1000,100000,0.237395,20.316054,,0.101051,20.654500,20.56,0.09,14008
input/test_n1000_m100000_f0_no2.utv,1000,100000,0.221867,20.471810,,0.105393,20.799070,20.72,0.07,13960
input/test_n1000_m100000_f0_no3.utv,1000,100000,0.231011,20.574853,,0.100088,20.905952,20.80,0.11,13992
input/test_n1000_m110000_f0_no1.utv,1000,110000,0.266309,21.335075,,0.119624,21.721008,21.63,0.09,15244
input/test_n1000_m110000_f0_no2.utv,1000,110000,0.249058,21.735409,,0.119922,22.104389,22.00,0.10,15208
input/test_n1000_m110000_f0_no3.utv,1000,110000,0.271174,20.660684,,0.119449,21.051307,20.92,0.12,15280
input/test_n1000_m120000_f0_no1.utv,1000,120000,0.284901,23.832295,,0.140311,24.257507,24.15,0.10,16484
input/test_n1000_m120000_f0_no2.utv,1000,120000,0.292761,24.015852,,0.145772,24.454385,24.36,0.09,16492
input/test_n1000_m120000_f0_no3.utv,1000,120000,0.276751,25.034783,,0.146201,25.457735,25.36,0.09,16460
input/test_n1000_m130000_f0_no1.utv,1000,130000,0.311415,26.521390,,0.152989,26.985794,26.82,0.16,17800
input/test_n1000_m130000_f0_no2.utv,1000,130000,0.306188,26.794863,,0.161511,27.262562,27.12,0.14,17780
input/test_n1000_m130000_f0_no3.utv,1000,130000,0.314586,26.931096,,0.162674,27.408356,27.25,0.15,17712
input/test_n1000_m140000_f0_no1.utv,1000,140000,0.342145,28.982754,,0.183376,29.508275,29.40,0.10,18988
input/test_n1000_m140000_f0_no2.utv,1000,140000,0.343898,29.095382,,0.180204,29.619484,29.50,0.12,19028
input/test_n1000_m140000_f0_no3.utv,1000,140000,0.341453,29.501368,,0.180852,30.023673,29.91,0.11,18988
input/test_n1000_m150000_f0_no1.utv,1000,150000,0.375529,31.451388,,0.196343,32.023260,31.88,0.14,20224
input/test_n1000_m150000_f0_no2.utv,1000,150000,0.359953,31.333875,,0.195125,31.888953,31.74,0.15,20300
input/test_n1000_m150000_f0_no3.utv,1000,150000,0.379002,31.283055,,0.197481,31.859538,31.71,0.14,20220
input/test_n1000_m160000_f0_no1.utv,1000,160000,0.387847,33.583642,,0.219621,34.191110,34.01,0.18,21452
input/test_n1000_m160000_f0_no2.utv,1000,160000,0.378706,33.631621,,0.217432,34.227759,34.09,0.14,21500
input/test_n1000_m160000_f0_no3.utv,1000,160000,0.377036,33.538567,,0.211585,34.127188,33.93,0.19,21456
input/test_n1000_m170000_f0_no1.utv,1000,170000,0.455631,35.742072,,0.238834,36.436537,36.21,0.23,22708
input/test_n1000_m170000_f0_no2.utv,1000,170000,0.431692,35.448136,,0.234364,36.114192,35.87,0.24,22764
input/test_n1000_m170000_f0_no3.utv,1000,170000,0.405239,35.726851,,0.235186,36.367276,36.21,0.15,22720
input/test_n1000_m180000_f0_no1.utv,1000,180000,0.434808,38.101847,,0.252387,38.789042,38.65,0.14,23980
input/test_n1000_m180000_f0_no2.utv,1000,180000,0.430142,37.938858,,0.254981,38.623981,38.50,0.12,24072
input/test_n1000_m180000_f0_no3.utv,1000,180000,0.448393,38.027238,,0.250753,38.726384,38.55,0.18,23992
input/test_n1000_m190000_f0_no1.utv,1000,190000,0.466383,40.243518,,0.271759,40.981660,40.83,0.15,25228
input/test_n1000_m190000_f0_no2.utv,1000,190000,0.463034,40.180257,,0.274002,40.917293,40.75,0.16,25236
input/test_n1000_m190000_f0_no3.utv,1000,190000,0.478162,40.320228,,0.274436,41.072826,40.90,0.16,25196
input/test_n1000_m200000_f0_no1.utv,1000,200000,0.483297,42.675311,,0.294786,43.453394,43.26,0.19,26468
input/test_n1000_m200000_f0_no2.utv,1000,200000,0.479984,42.370184,,0.297565,43.147733,42.95,0.20,26512
input/test_n1000_m200000_f0_no3.utv,1000,200000,0.492212,42.669277,,0.295885,43.457374,43.24,0.21,26472
